rank,family,size,component,index,value_0,value_1
4,pca_mse,64,0,12,0.07903529703617096,0.7756994366645813
4,pca_mse,64,0,13,0.3002650737762451,-0.1955782026052475
4,pca_mse,64,0,14,-0.5289435982704163,0.4922349452972412
4,pca_mse,64,0,15,-0.35389888286590576,0.40116116404533386
4,pca_mse,64,0,16,1.188349962234497,0.18260961771011353
4,pca_mse,64,0,17,-0.7015571594238281,-0.574547529220581
4,pca_mse,64,0,18,-0.025757642462849617,0.5749045014381409
4,pca_mse,64,0,19,0.7561877369880676,-0.39460259675979614
4,pca_mse,64,0,20,0.08875781297683716,-0.20399802923202515
4,pca_mse,64,0,21,-0.2707546651363373,-0.8671391010284424
4,pca_mse,64,0,22,0.24103644490242004,0.11504387855529785
4,pca_mse,64,0,23,0.8415019512176514,0.3713812828063965
4,pca_mse,64,0,24,0.21237510442733765,-0.36648261547088623
4,pca_mse,64,0,25,-0.7983364462852478,-0.11808555573225021
4,pca_mse,64,0,26,0.6562359929084778,-0.6549513936042786
4,pca_mse,64,0,27,0.5377395749092102,0.16075032949447632
4,pca_mse,64,0,28,-0.053681183606386185,0.24089907109737396
4,pca_mse,64,0,29,-0.5354697108268738,0.7964990735054016
4,pca_mse,64,0,30,0.18957401812076569,-1.158689022064209
4,pca_mse,64,0,31,-0.305500328540802,0.029540231451392174
4,pca_mse,64,0,32,0.540790855884552,-0.15331293642520905
4,pca_mse,64,0,33,-0.002683078171685338,-0.38612300157546997
4,pca_mse,64,0,34,0.3469376266002655,0.28543776273727417
4,pca_mse,64,0,35,-1.173101782798767,-0.10248957574367523
4,pca_mse,64,0,36,-0.13852669298648834,-0.5997426509857178
4,pca_mse,64,0,37,0.14926716685295105,1.077564001083374
4,pca_mse,64,0,38,-0.3891393542289734,-0.280834436416626
4,pca_mse,64,0,39,0.45813435316085815,-0.90926194190979
4,pca_mse,64,0,40,0.5117326974868774,0.4262057840824127
4,pca_mse,64,0,41,0.3803001940250397,-0.012651803903281689
4,pca_mse,64,0,42,0.0640699565410614,0.10384336113929749
4,pca_mse,64,0,43,-0.5893054604530334,-0.2757416069507599
4,pca_mse,64,0,44,-0.37906524538993835,-0.5285553932189941
4,pca_mse,64,0,45,-0.13963580131530762,-0.06651598960161209
4,pca_mse,64,0,46,-0.21685890853405,1.1200411319732666
4,pca_mse,64,0,47,-0.4902728199958801,-0.05564451217651367
4,pca_mse,64,0,48,-0.17235083878040314,0.4052351415157318
4,pca_mse,64,0,49,-0.10736680030822754,0.08082245290279388
4,pca_mse,64,0,50,-0.12086744606494904,-1.0954734086990356
4,pca_mse,64,0,51,-0.24877077341079712,0.20689430832862854
4,pca_mse,64,0,52,0.10823265463113785,-0.8070161938667297
4,pca_mse,64,0,53,-0.7866591215133667,0.5098554491996765
4,pca_mse,64,0,54,0.9907517433166504,-0.20398443937301636
4,pca_mse,64,0,55,0.2566598355770111,0.5189549922943115
4,pca_mse,64,0,56,-0.27227482199668884,-0.15983815491199493
4,pca_mse,64,0,57,0.3335166573524475,-0.5978726744651794
4,pca_mse,64,0,58,0.6631035804748535,0.6694881319999695
4,pca_mse,64,0,59,0.3980943262577057,0.807227373123169
4,pca_mse,64,0,60,-0.47239306569099426,0.2129846066236496
4,pca_mse,64,0,61,-0.2319422960281372,0.6785780191421509
4,pca_mse,64,0,62,-0.9445858597755432,-0.41829273104667664
4,pca_mse,64,0,63,-0.20956794917583466,-0.3628210425376892
4,spectral_mse,64,0,0,0.0,0.0
4,spectral_mse,64,0,1,-0.3571787476539612,0.17372611165046692
4,spectral_mse,64,0,2,0.22580698132514954,-0.4429198205471039
4,spectral_mse,64,0,3,0.547154426574707,0.31030213832855225
4,spectral_mse,64,0,4,-0.008623813278973103,0.13508319854736328
4,spectral_mse,64,0,5,-0.3620234727859497,-0.1834724396467209
4,spectral_mse,64,0,6,-0.40748465061187744,-0.9295511245727539
