seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_error,exact_error,relative_excess_error,spectral_gap_at_k,condition_proxy,m_multiplies,mt_multiplies
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,0,randomized,0.6650431156158447,0.6650431156158447,0.0,0.0555381178855896,11.954534530639648,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,0,randomized,0.5515152215957642,0.5514970421791077,3.296376235084608e-05,0.015282735228538513,43.44329071044922,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,0,randomized,0.43846654891967773,0.43293264508247375,0.012782366946339607,0.00393214076757431,168.84754943847656,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,8,randomized,1.1263245344161987,0.9218074083328247,0.22186535596847534,0.1625978946685791,4.083277702331543,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,8,randomized,1.1210578680038452,0.7735586166381836,0.4492216110229492,0.2171524167060852,3.057448387145996,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,8,randomized,1.115120530128479,0.6650431156158447,0.6767642498016357,0.0555381178855896,11.954534530639648,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,8,randomized,1.1107308864593506,0.5514970421791077,1.014028787612915,0.015282735228538513,43.44329071044922,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,8,randomized,1.1073306798934937,0.43293264508247375,1.5577436685562134,0.00393214076757431,168.84754943847656,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,8,randomized,0.9218074679374695,0.9218074083328247,6.466062529852934e-08,0.1625978946685791,4.083277702331543,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,8,randomized,0.7735588550567627,0.7735586166381836,3.082101045492891e-07,0.2171524167060852,3.057448387145996,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,8,randomized,0.6650445461273193,0.6650431156158447,2.151005674022599e-06,0.0555381178855896,11.954534530639648,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,8,randomized,0.5515503883361816,0.5514970421791077,9.672972373664379e-05,0.015282735228538513,43.44329071044922,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,8,randomized,0.4344431757926941,0.43293264508247375,0.003489066381007433,0.00393214076757431,168.84754943847656,3,2
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,8,randomized,0.9218074679374695,0.9218074083328247,6.466062529852934e-08,0.1625978946685791,4.083277702331543,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,8,randomized,0.7735586166381836,0.7735586166381836,0.0,0.2171524167060852,3.057448387145996,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,8,randomized,0.6650431156158447,0.6650431156158447,0.0,0.0555381178855896,11.954534530639648,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,8,randomized,0.5514971613883972,0.5514970421791077,2.161558114721629e-07,0.015282735228538513,43.44329071044922,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,8,randomized,0.4329652488231659,0.43293264508247375,7.530903531005606e-05,0.00393214076757431,168.84754943847656,5,4
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",1,0,0,canonical,0.29031437635421753,0.24902941286563873,0.16578347980976105,0.052001483738422394,2.953279495239258,1,0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",2,0,0,canonical,0.2890235483646393,0.22737285494804382,0.2711435854434967,0.020414918661117554,7.522680759429932,1,0
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",4,0,0,canonical,0.2880786955356598,0.20357218384742737,0.41511815786361694,0.005697228014469147,26.95607566833496,1,0
