seed,update,parameter_id,parameter_name,shape,rank_label,rank,matrix_block_absmax_mean,residual_block_absmax_mean,scale_reduction_ratio,update_cosine_gain,danger_error_fraction
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_25,1,0.009026207961142063,0.006078328471630812,0.6734088659286499,0.06552058458328247,0.8196065425872803
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_50,2,0.009026207961142063,0.0054847984574735165,0.6076525449752808,0.09084957838058472,0.8225218653678894
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_75,8,0.009026207961142063,0.0037093786522746086,0.410956472158432,0.18552839756011963,0.8231644034385681
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",energy_90,22,0.009026207961142063,0.0023461468517780304,0.25992608070373535,0.30622780323028564,0.8173362612724304
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_1,1,0.001428040093742311,0.0011498510139063,0.8051952123641968,0.041396915912628174,0.058895181864500046
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_2,2,0.001428040093742311,0.0010556051274761558,0.7391985058784485,0.05500918626785278,0.05815250426530838
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_4,4,0.001428040093742311,0.0009502337197773159,0.665411114692688,0.07219535112380981,0.05896846950054169
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_8,8,0.001428040093742311,0.0007923234370537102,0.5548327565193176,0.0945022702217102,0.05882047861814499
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",fixed_16,16,0.001428040093742311,0.0006267079152166843,0.4388587772846222,0.11912816762924194,0.05812336504459381
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_25,1,0.001428040093742311,0.0011498510139063,0.8051952123641968,0.041396915912628174,0.058895181864500046
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_50,3,0.001428040093742311,0.0010019807377830148,0.7016474604606628,0.06435710191726685,0.059232983738183975
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_75,13,0.001428040093742311,0.0006764977588318288,0.4737246334552765,0.11170125007629395,0.05783039331436157
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",energy_90,50,0.001428040093742311,0.0003925937635358423,0.2749179005622864,0.15064430236816406,0.05742016062140465
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_1,1,0.0013789152726531029,0.0011030243476852775,0.7999217510223389,0.040711820125579834,0.06045759469270706
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_2,2,0.0013789152726531029,0.0010316219413653016,0.7481402158737183,0.05496889352798462,0.06003335118293762
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_4,4,0.0013789152726531029,0.0009116886067204177,0.6611636281013489,0.07349449396133423,0.06064220890402794
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_8,8,0.0013789152726531029,0.0007582420366816223,0.5498829483985901,0.0961880087852478,0.059807583689689636
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",fixed_16,16,0.0013789152726531029,0.0006090691895224154,0.4417016804218292,0.12033438682556152,0.060143280774354935
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_25,1,0.0013789152726531029,0.0011030243476852775,0.7999217510223389,0.040711820125579834,0.06045759469270706
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_50,3,0.0013789152726531029,0.0009686301345936954,0.7024580240249634,0.06597322225570679,0.05967056006193161
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_75,13,0.0013789152726531029,0.0006553022540174425,0.47523024678230286,0.11341995000839233,0.05978618934750557
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",energy_90,49,0.0013789152726531029,0.00038265204057097435,0.2775022089481354,0.1530134081840515,0.058856431394815445
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",fixed_1,1,0.008267317898571491,0.007667828351259232,0.9274868369102478,0.018957555294036865,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",fixed_2,2,0.008267317898571491,0.006485902238637209,0.7845231294631958,0.03919285535812378,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",fixed_4,4,0.008267317898571491,0.005007954314351082,0.6057531833648682,0.06623828411102295,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",fixed_8,8,0.008267317898571491,0.003732505952939391,0.4514772593975067,0.10262101888656616,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",fixed_16,16,0.008267317898571491,0.0026978265959769487,0.3263242840766907,0.13821101188659668,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",energy_25,2,0.008267317898571491,0.006485902238637209,0.7845231294631958,0.03919285535812378,0.0
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",energy_50,6,0.008267317898571491,0.004282680340111256,0.5180253386497498,0.08651793003082275,0.0
