seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01228394452482462,0.0008956340025179088,0.0730983093380928,0.012323694303631783,0.000895641278475523,0.07286194711923599
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.014414348639547825,0.0010135177290067077,0.07183239609003067,0.014749987050890923,0.0010135190095752478,0.07012907415628433
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.04405516758561134,0.005756168160587549,0.13228918612003326,0.044349804520606995,0.0057561700232326984,0.13138851523399353
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.017527567222714424,0.0018292570021003485,0.10606236755847931,0.0178836677223444,0.0018292596796527505,0.10388336330652237
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.012100959196686745,0.0009624063968658447,0.07973266392946243,0.011941580101847649,0.000962406862527132,0.08080239593982697
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.014306072145700455,0.0010666119633242488,0.07619161903858185,0.014152683317661285,0.0010666130110621452,0.07705478370189667
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.043289974331855774,0.005895208567380905,0.137441948056221,0.04560277611017227,0.005895234178751707,0.13035206496715546
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.025505399331450462,0.0029530832543969154,0.12013744562864304,0.026540381833910942,0.0029531188774853945,0.11511661857366562
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.014669068157672882,0.0015202411450445652,0.10460088402032852,0.018173595890402794,0.0015202683862298727,0.08415746688842773
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.02535601146519184,0.002485126256942749,0.10299108177423477,0.02530045621097088,0.0024851078633219004,0.10323980450630188
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.07141368091106415,0.008264949545264244,0.11607129126787186,0.04470616206526756,0.008264118805527687,0.18624050915241241
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.025868386030197144,0.00279441406019032,0.11188805848360062,0.024974506348371506,0.0027944897301495075,0.11620443314313889
