seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,23.330692994262925,0.7108428431351737,0.329548716545105
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,46.335920913825206,0.7374345569884544,0.45597365498542786
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,40.53852055482065,0.7243552912280763,0.4305223524570465
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,26.236195683030267,0.741418617401214,0.3423389196395874
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,24.705570044271,0.7157259755852603,0.33811280131340027
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,47.955997849890814,0.7366621520289878,0.46432799100875854
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,48.489519731917305,0.7357433014999663,0.47061726450920105
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,35.874803871352924,0.7574911015696739,0.39894503355026245
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,30.465574499513593,0.7324923944414315,0.37386101484298706
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,66.67162637331299,0.7395550199707713,0.5504176616668701
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,421.06486588270764,0.6221108915353006,1.4842960834503174
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,234.87466389358974,0.6244034529481286,1.10653555393219
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,225.86614293097733,0.6234747079585689,1.0859155654907227
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1094.345274390641,0.6205087859369466,2.395979642868042
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.6447871923446655
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.2150757312774658
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.1933084726333618
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.5090181827545166
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,51.232278021768174,0.7436479798210979,0.4813232719898224
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,32.0416215174874,0.7544462366267781,0.3779129981994629
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,30.402378242759305,0.7350677800686061,0.3729398846626282
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,55.656150623384576,0.751080585858797,0.49918562173843384
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,54.0858244467408,0.7441094293505869,0.494314968585968
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,34.525432672023456,0.7584450603355326,0.39119017124176025
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,32.93714371731437,0.7362864547441048,0.38779303431510925
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,63.33549593861289,0.756476949253533,0.5305253863334656
0,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,47.38243895203786,0.735223730693835,0.46353867650032043
0,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,34.78668474455865,0.7551435081743908,0.39190319180488586
0,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,29.51487119831016,0.7369453689939911,0.3654179275035858
0,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,62.455741225777594,0.7448977190973428,0.5287189483642578
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,452.9406438530178,0.5898515724270447,1.6107600927352905
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,251.93189737549116,0.5924282268243082,1.198685646057129
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,241.53767427618556,0.5909849354995038,1.175129771232605
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1038.3273551885077,0.582056262911712,2.4550833702087402
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.6842137575149536
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.2538655996322632
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.2145261764526367
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.532100200653076
